s	scores
1077	[0.4346736882660831,-0.028266590962297177,0.011420196183846648,-0.0034431542227252527,0.0030512563956698793,-0.01757858591293632,0.07000703023571876,0.05286720005472049,0.010726370155387051,-0.039831093971111876]
1078	[0.43951925668157354,-0.030621843282729266,0.004305185832486107,-0.0038542647932189233,-0.014722684399911517,0.003084798160673666,0.01820471227916957,0.03196437499698428,0.03768886487440976,-0.01396682700084874]
1079	[0.44134968189937057,-0.0261626992525466,0.006141835162463097,-0.0016722937894229407,-0.014009017231276084,0.007261316355530253,0.00790207264843379,0.03727371281256835,0.045874682651315564,0.013627964266119863]
108	[-0.17883452697103333,0.1017994393011241,-0.22892784158857082,0.0013997347452321099,-0.07576476548472803,-0.006453594695833684,0.127430219614332,-0.1031069877909321,-0.05314975542153663,0.03179339918727375]
1080	[0.4161980777287079,-0.02388092893450745,0.012477106152440721,-0.0042098702571106116,-0.004961607030415551,0.010661839876869474,-0.06640700638887585,-0.07883322184780701,-0.10301381999422497,0.04663205103533202]
1081	[0.3956726720860184,-0.01166543348408703,0.010841663569794277,-0.009534255982279284,-0.008443009706051123,0.01225685970636675,-0.06615310663132529,-0.062337654648781694,-0.09211095293575124,0.041048906357396185]
1082	[0.43671122139873264,-0.02884288762821404,0.008454229011107968,-5.294912324622777E-4,-0.009545943073316788,0.007414105252756301,-0.040097388172517644,-0.03926808360670083,-0.0746357188013556,0.026290078332994682]
1083	[0.4307485040447583,-0.02469622190813292,0.010581294711387421,0.0011288822769894454,-0.005576834926889382,0.005972063830187965,-0.03262463763536643,-0.03402992994566591,-0.07550279165959714,-0.006148128245044756]
1084	[0.42970561825982456,-0.02876452288661724,0.001874526428441968,0.0040294948894307415,-0.007709947529081882,0.0056221475869665015,-0.05324962658048288,-0.03552719481164541,-0.03500745166548895,0.03265225112374188]
1085	[0.4326730496878242,-0.030355472789571774,0.011951248977273891,0.0015675869351453686,-0.010142251666511278,0.0029932556438186033,-0.027055977696008895,-0.024918342543934408,-0.048135189662670066,0.0030536379309680857]
1086	[0.4336075446443789,-0.030592144663451313,0.011318373111829962,-0.005248784800555079,-5.284966030309155E-4,-0.020700536558865827,0.023115507695583622,-0.0025610581179242994,-0.08619333843726731,-0.05483420119458383]
1087	[0.43049208535037525,-0.024330469322704038,0.008479703861487874,7.309128113822173E-4,-0.007990843271526191,0.008206243655491262,-0.03386699811751798,-0.038969994984607785,-0.059693857141223765,0.00694972913305062]
1088	[0.4456307729459985,-0.02880295453719284,0.01230773170938928,-0.008419149113797356,0.005796148031784456,-0.016291949387653364,0.020365100785137556,-0.010100982203505453,-0.10048439757072099,-0.037719399061074785]
1089	[0.4202080281585913,-0.025749204817751694,0.013041179166286368,-5.226253570164235E-4,-0.00584402837985048,0.010109165666875492,-0.03179095215050011,-0.030500462544383797,-0.06080696227369701,0.019937795655940147]
109	[-0.18604146406856728,0.08201143837890737,-0.24843645050680885,0.017339400121842784,-0.03984414399711826,-0.00850205179829036,0.11207604331768327,-0.09608134195380753,-0.035974436914299204,0.029915085533934908]
1090	[0.4409602748353118,-0.027791966293558953,0.008398115288874677,0.005887368872439239,-0.009740443356214778,0.009841898608173144,-0.03308409391288864,-0.029119677129818763,-0.04334555681964093,7.10058925309477E-4]
1091	[0.44040404749327333,-0.034196419032016256,0.0010544629179580168,-0.0039784107748737875,-0.0021186382670495105,4.6499783778358874E-4,-0.049780697474605846,-0.0448744918927911,-0.04159744343485201,0.0017972283318874061]
1092	[0.4401081147862642,-0.028226076271663306,0.008249606321603003,3.1962713421371464E-4,-0.010060224106679462,0.012586528802500765,-0.03558420747725047,-0.042537148723032554,-0.06365421594863672,0.019613953130667768]
1093	[0.4219542136910163,-0.02471007326009027,0.008864311946487473,-0.002289597599768036,-0.014222218549391555,0.0011836582803163053,-0.038327685161332246,-0.03362079898501147,-0.06500136216434782,0.012744400118558409]
1094	[-0.12354958209029511,0.0630524642199322,0.1307500545288883,0.08706186088167898,0.003157577878401328,0.06136104670426877,-0.00872405218595921,-0.0010256582238405384,0.00750484704034346,0.019803476969225197]
1095	[-0.12668590162725255,0.06472675156524589,0.13597254968371028,0.10197316044585943,0.0020490821544498646,0.058774966239632236,0.00186806790983368,-0.0035249204960880877,-0.0014219112566832884,0.02264587342439066]
1096	[-0.12508262604632994,0.0600650755843884,0.14002227599849643,0.0857889443892379,0.007875202105247451,0.06885531832972423,-0.0015019548613436303,-0.001972598828676211,-0.00663510870547904,0.01945988593391996]
1097	[-0.12670634687599142,0.053377777739536066,0.1342709088483891,0.09742276296721308,0.032294868717270345,0.046513116626321196,0.029370378739472205,-0.006932679860598533,0.0014999252645453438,-0.041640673715350435]
1098	[-0.13067918156375352,0.04779701954654,0.1295354582533494,0.09209499302876883,0.02810183331305678,0.032762673017768244,0.022681627453519464,-0.007729218682375479,-5.360663885707556E-4,-0.050622852880256836]
1099	[-0.1268259249194386,0.05753226021045424,0.1343449238942998,0.08764709172019035,0.007079010777265332,0.03035938211572996,0.033843988175556936,0.014654061783221926,-0.012703996599927296,-6.528401962087615E-4]
11	[-0.13355096828384724,0.20512442540057377,-0.028770841110068057,-0.01935789734552409,-0.013979436408598833,-0.10592325622555931,-0.013851096442366805,0.0021233158632310003,9.362905574494E-4,-0.03279423438964347]
110	[-0.18428814764495735,0.083754663363391,-0.2619845913899737,0.0243314561212892,-0.052186103467800636,-0.007645651905001287,0.12655270737882474,-0.10761933270747652,-0.03908569641785701,0.034357656657802]
1100	[-0.12249471678092871,0.0717754951253199,0.1498895696415525,0.11558947361115819,0.034943427345500176,0.068513570287966,0.045391165062835526,-0.00168170854304154,-0.014727793893390578,-0.027623076923119057]
1101	[-0.13383092772535357,0.05077422598687317,0.1498925510478525,0.1020290002893091,0.01977612957538556,0.051290133049369586,0.039217244119954926,0.003958225132666835,-0.01836734052485879,-0.02732669352473664]
1102	[-0.12442601396095386,0.06815346836312819,0.14059838087345958,0.09791349801202107,0.0295042374669199,0.05533205669875089,0.03856980572128428,0.005093509625477347,-0.012125138954744463,-0.0336295726780438]
1103	[-0.12893180869775425,0.06173487897342198,0.14459065030485407,0.0968014877480859,0.0229517182548353,0.0453388334179267,0.03313805686145663,0.0014411708783929223,-0.012857207289252714,-0.040020205777929606]
1104	[-0.12429737914655788,0.0606889216525934,0.13824924437149025,0.09237451324671345,0.002645394780613303,0.06662996872840025,-0.0022591638819907845,-0.005628142533569653,-0.00403779129214266,0.031557232195534995]
1105	[-0.1216970679266691,0.05795411954188847,0.13563324674573676,0.0884252531754576,-0.0022078568452362913,0.05928612735879911,-0.0077215900912861995,-0.00533650186710879,-0.0014294843678828329,0.02060764135221218]
1106	[-0.12248335712569748,0.13754533106241337,0.093175975193816,0.07600733747620984,0.01688819725190557,0.019909662369369523,0.02050666398736551,0.0177014123677897,-0.018480483367005106,-0.007071905105901923]
1107	[-0.12615498658692098,0.11558610267948141,0.10515171577912003,0.07360886299189362,0.01920331119717061,0.02466061031423368,0.025701995272336922,0.015060989776705681,-0.017254628892891765,-0.0012182003997812613]
1108	[-0.11886118538863205,0.08619311889601458,0.1414930444064323,0.12084306629811029,0.01362965398355742,0.09043717281000059,0.007780823560943926,-0.004000037586123923,0.0015473197879902994,0.02967693157408253]
1109	[-0.11946301257469671,0.07855644121661642,0.1364607419259186,0.10959056480170909,0.008948843263080765,0.07374922215667118,0.0031638022700990706,-0.004486756024237497,-0.0022532907194606536,0.025097203230759958]
111	[-0.18103647961555083,0.10735352756178348,-0.2327217851075644,0.006400684997038847,-0.10271867387136104,0.031248833256440595,0.09740309616019725,-0.058524352216702505,-0.1074480482523646,0.01299995768801783]
1110	[-0.1262330698299665,0.07526324180803019,0.14804781284404012,0.1212967197717078,0.038508054691065934,0.06709763147332866,0.045399504326046315,-0.002257984655639148,-0.007149683772970274,-0.03558614734388712]
1111	[-0.1254218150640044,0.10631857904911739,0.11699480201137726,0.09221597786346585,0.013331868966531579,0.03187898860918311,0.028966418540875522,0.017167037873797922,-0.021437241600707688,0.005794488498213506]
1112	[-0.12254257161759215,0.09760320697297986,0.11895156957161795,0.08868827791160004,0.012481036415305503,0.038954175062520635,0.02881530693477958,0.014873859096055443,-0.016011235585622563,-2.6355034832964023E-4]
1113	[-0.12436005373071757,0.10461114682424148,0.12262254082076508,0.09904132428940977,0.02327484853429771,0.048440650572325876,0.03130673618583553,0.007587522435988752,-0.018969654403530226,0.003269582563895534]
1114	[-0.12291918425700729,0.08970965829795922,0.12413274333135721,0.10481898251585124,0.005381192751069575,0.06368789635198831,-0.009702995685182837,-0.0022278615838092195,0.0033690683120663465,0.037021122610217415]
1115	[-0.12627073699025418,0.08132474672970416,0.144051120341544,0.11787537794191075,0.011627992342775877,0.08269383446398171,0.007295663119970326,-0.003175837129191849,0.001016019295237531,0.03061083411696421]
1116	[-0.12180057738110314,0.07489833201684706,0.1416376281554284,0.1190932972321428,0.006855172033844379,0.07666893719695768,0.011110183944055677,-0.0012866228726750562,0.0017916061304367598,0.021084901115646225]
1117	[-0.12108308342045339,0.08324571799600883,0.1384796130277552,0.1239032431780491,0.012126968207228847,0.07991202292993203,0.007269214269874551,0.0021448329633573875,-0.0013584329383644885,0.027687041083113408]
1118	[-0.11263631831090413,0.08947789625644516,0.13552599391238124,0.11815494746377472,0.012424539545748894,0.08312665016483285,0.003190466188236579,-0.005973349329548322,-9.936370376147276E-4,0.02442291029899818]
1119	[-0.12131253484178015,0.06904434128825582,0.1545520670075741,0.11955116732429906,0.016247606780850535,0.09915166803620913,0.008438344847776226,-0.010259069186510579,0.0066345695362791425,0.025292194082295768]
112	[-0.18143729748334061,0.0926640112536643,-0.21696377574311035,0.012465341140375542,-0.09387948990229368,0.017423648557505195,0.10044796853982428,-0.06677174628441628,-0.08953094071072351,0.015155650536320528]
1120	[-0.12177411143091448,0.09027381095761554,0.13526385813558936,0.11128843637344912,0.013897888282101537,0.08129632927266464,0.0058970184624956125,-0.004409573940839001,-2.532415917644678E-4,0.024383882542596963]
1121	[-0.11704062319688313,0.073027002731436,0.14433347846488956,0.128247521260764,0.04630765053271293,0.07251628116879442,0.03431523355662106,-0.01041568897146818,-0.0014648510545523575,-0.04668499852006463]
